iter	Passed	Remaining
398	380858	96407
399	381931	95482
400	383147	94592
401	384320	93690
402	385519	92792
403	386588	91862
404	387521	90900
405	388739	90003
406	389854	89082
407	391322	88239
408	392625	87356
409	393920	86470
410	395241	85587
411	396490	84687
412	397748	83787
413	398870	82857
414	399808	81888
415	401216	81014
416	402101	80034
417	403276	79111
418	404785	78252
419	405927	77319
420	407026	76377
421	408043	75420
422	409188	74485
423	410571	73593
424	411628	72640
